2025-12-17T16:53:09Z,api-gateway,2.21,0.5,0.29111328125000000000,1.0
2025-12-17T16:53:10Z,user-service,0.01,0.5,0.22138671875000000000,1.0
2025-12-17T16:53:12Z,driver-service,0.06,0.5,0.14863281250000000000,1.0
2025-12-17T16:53:14Z,trip-service,0.20,0.5,0.36484375000000000000,1.0
2025-12-17T16:53:16Z,matching-service,7.23,0.5,0.38535156250000000000,1.0
2025-12-17T16:53:18Z,notification-service,0.14,0.5,0.34423828125000000000,1.0
2025-12-17T16:53:20Z,api-gateway,0.09,0.5,0.29111328125000000000,1.0
2025-12-17T16:53:22Z,user-service,0.01,0.5,0.22158203125000000000,1.0
2025-12-17T16:53:24Z,driver-service,0.04,0.5,0.14873046875000000000,1.0
2025-12-17T16:53:26Z,trip-service,0.21,0.5,0.36484375000000000000,1.0
2025-12-17T16:53:28Z,matching-service,0.31,0.5,0.38691406250000000000,1.0
2025-12-17T16:53:30Z,notification-service,0.14,0.5,0.34423828125000000000,1.0
2025-12-17T16:53:42Z,api-gateway,0.08,0.5,0.29111328125000000000,1.0
2025-12-17T16:53:43Z,user-service,0.01,0.5,0.22148437500000000000,1.0
2025-12-17T16:53:45Z,driver-service,0.04,0.5,0.14853515625000000000,1.0
2025-12-17T16:53:47Z,trip-service,0.27,0.5,0.36484375000000000000,1.0
2025-12-17T16:53:49Z,matching-service,0.29,0.5,0.38691406250000000000,1.0
2025-12-17T16:53:51Z,notification-service,0.18,0.5,0.34423828125000000000,1.0
2025-12-17T16:54:03Z,api-gateway,0.09,0.5,0.29111328125000000000,1.0
2025-12-17T16:54:05Z,user-service,0.01,0.5,0.22148437500000000000,1.0
2025-12-17T16:54:07Z,driver-service,0.03,0.5,0.14853515625000000000,1.0
2025-12-17T16:54:09Z,trip-service,0.29,0.5,0.36513671875000000000,1.0
2025-12-17T16:54:11Z,matching-service,0.26,0.5,0.38681640625000000000,1.0
2025-12-17T16:54:13Z,notification-service,0.14,0.5,0.34404296875000000000,1.0
