2025-12-15T17:23:10Z,api-gateway,0.08,0.5,.29121093750000000000,1.0
2025-12-15T17:23:11Z,user-service,0.00,0.5,.08105468750000000000,1.0
2025-12-15T17:23:13Z,driver-service,0.00,0.5,.05910156250000000000,1.0
2025-12-15T17:23:15Z,trip-service,0.18,0.5,.34257812500000000000,1.0
2025-12-15T17:23:17Z,matching-service,0.29,0.5,.34648437500000000000,1.0
2025-12-15T17:23:19Z,notification-service,0.14,0.5,.32500000000000000000,1.0
2025-12-15T17:23:22Z,api-gateway,0.08,0.5,.29121093750000000000,1.0
2025-12-15T17:23:23Z,user-service,0.01,0.5,.08106445312500000000,1.0
2025-12-15T17:23:26Z,driver-service,0.02,0.5,.05904296875000000000,1.0
2025-12-15T17:23:28Z,trip-service,0.18,0.5,.34257812500000000000,1.0
2025-12-15T17:23:30Z,matching-service,0.26,0.5,.34648437500000000000,1.0
2025-12-15T17:23:32Z,notification-service,0.16,0.5,.32500000000000000000,1.0
2025-12-15T17:23:38Z,api-gateway,0.11,0.5,.29121093750000000000,1.0
2025-12-15T17:23:39Z,user-service,0.01,0.5,.08112304687500000000,1.0
2025-12-15T17:23:41Z,driver-service,0.01,0.5,.05912109375000000000,1.0
2025-12-15T17:23:43Z,trip-service,0.22,0.5,.34257812500000000000,1.0
2025-12-15T17:23:45Z,matching-service,0.24,0.5,.34658203125000000000,1.0
2025-12-15T17:23:47Z,notification-service,0.14,0.5,.32500000000000000000,1.0
